"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
393,"2019-08-01 00:00:01.4680","2019-08-01 00:06:35.3780",531,"Forsyth St & Broome St",40.71893904,-73.99266288,408,"Market St & Cherry St",40.71076228,-73.99400398,35305,"Subscriber",1996,2
627,"2019-08-01 00:00:01.9290","2019-08-01 00:10:29.7840",274,"Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,3409,"Bergen St & Smith St",40.6867443,-73.99063168,38822,"Subscriber",1998,2
1132,"2019-08-01 00:00:04.0480","2019-08-01 00:18:56.1650",2000,"Front St & Washington St",40.70255088,-73.98940236,3388,"President St & Henry St",40.6828003,-73.99990419,18373,"Subscriber",1988,1
1780,"2019-08-01 00:00:04.1630","2019-08-01 00:29:44.7940",479,"9 Ave & W 45 St",40.76019252,-73.9912551,473,"Rivington St & Chrystie St",40.72110063,-73.9919254,25002,"Subscriber",1988,1
1517,"2019-08-01 00:00:05.4580","2019-08-01 00:25:23.4550",3312,"1 Ave & E 94 St",40.7817212,-73.94594,3312,"1 Ave & E 94 St",40.7817212,-73.94594,31198,"Subscriber",1965,2
632,"2019-08-01 00:00:11.8060","2019-08-01 00:10:43.9590",173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,21628,"Subscriber",1998,1
117,"2019-08-01 00:00:18.2010","2019-08-01 00:02:15.8600",3718,"E 11 St & Avenue B",40.72746420692392,-73.97950418293476,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,25914,"Subscriber",1995,1
378,"2019-08-01 00:00:22.0840","2019-08-01 00:06:40.9350",493,"W 45 St & 6 Ave",40.7568001,-73.98291153,3724,"7 Ave & Central Park South",40.7667405590595,-73.9790689945221,34414,"Subscriber",1999,1
1102,"2019-08-01 00:00:22.0870","2019-08-01 00:18:44.3890",355,"Bayard St & Baxter St",40.71602118,-73.99974372,3232,"Bond St & Fulton St",40.68962188790333,-73.98304268717766,28226,"Subscriber",1992,1
1733,"2019-08-01 00:00:22.5580","2019-08-01 00:29:15.9080",513,"W 56 St & 10 Ave",40.768254,-73.988639,469,"Broadway & W 53 St",40.76344058,-73.98268129,33448,"Customer",1968,1
885,"2019-08-01 00:00:27.3260","2019-08-01 00:15:12.6400",532,"S 5 Pl & S 5 St",40.710451,-73.960876,317,"E 6 St & Avenue B",40.72453734,-73.98185424,38334,"Subscriber",1988,2
505,"2019-08-01 00:00:30.6680","2019-08-01 00:08:56.0820",497,"E 17 St & Broadway",40.73704984,-73.99009296,432,"E 7 St & Avenue A",40.72621788,-73.98379855,28529,"Subscriber",1973,1
620,"2019-08-01 00:00:33.1190","2019-08-01 00:10:53.4140",3779,"Hart St & Wyckoff Ave",40.704876,-73.919911,3074,"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,19913,"Subscriber",1990,1
308,"2019-08-01 00:00:33.9150","2019-08-01 00:05:42.7430",3137,"5 Ave & E 73 St",40.77282817,-73.96685276,3372,"E 74 St & 1 Ave",40.7689738,-73.95482273,29018,"Subscriber",1965,2
645,"2019-08-01 00:00:42.8120","2019-08-01 00:11:28.7760",251,"Mott St & Prince St",40.72317958,-73.99480012,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,28162,"Subscriber",1983,1
